epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1661,3.94655,4.60566,4.13341,0,0,0,0,4.72641,5.16716,4.208,0.000364161,0.000364161,0.000364161
2,19.9543,2.77196,3.30271,3.22344,0.01796,0.07069,0.01299,0.00315,3.72875,4.50463,3.58473,0.00073304,0.00073304,0.00073304
3,33.1322,2.11508,2.65001,2.94323,0.14223,0.37529,0.13214,0.06586,2.09244,2.49097,3.10299,0.00110045,0.00110045,0.00110045
4,47.4275,1.86872,2.43781,2.77509,0.17752,0.43865,0.17601,0.1011,1.73286,2.56433,3.03476,0.0011044,0.0011044,0.0011044
5,57.8675,1.70499,2.32894,2.65933,0.23323,0.44385,0.21139,0.129,1.56506,2.1429,2.88071,0.0011022,0.0011022,0.0011022
6,68.6329,1.5769,2.25948,2.60423,0.24527,0.45089,0.23109,0.14586,1.4711,2.09644,2.85522,0.0011,0.0011,0.0011
7,83.7008,1.50861,2.17793,2.54726,0.24846,0.43022,0.2475,0.15318,1.46767,2.18628,2.77631,0.0010978,0.0010978,0.0010978
8,92.5614,1.47561,2.15465,2.53614,0.28813,0.46403,0.27861,0.17788,1.36473,2.03196,2.79741,0.0010956,0.0010956,0.0010956
9,103.089,1.41442,2.09506,2.5161,0.31551,0.48074,0.3001,0.19862,1.31931,2.01659,2.82853,0.0010934,0.0010934,0.0010934
10,113.806,1.38998,2.05409,2.48166,0.3593,0.47455,0.31841,0.21134,1.31608,2.04821,2.7718,0.0010912,0.0010912,0.0010912
11,121.604,1.38437,2.05121,2.44187,0.36123,0.45287,0.32101,0.20977,1.31611,1.93127,2.74472,0.001089,0.001089,0.001089
12,130.603,1.33581,2.02707,2.39441,0.40104,0.46302,0.34373,0.22856,1.30175,1.95181,2.75491,0.0010868,0.0010868,0.0010868
13,140.252,1.34322,1.98145,2.44871,0.35596,0.50253,0.33128,0.22195,1.27275,1.97759,2.78912,0.0010846,0.0010846,0.0010846
14,148.411,1.34455,1.96851,2.46896,0.39689,0.48056,0.35179,0.23464,1.25808,1.8982,2.74292,0.0010824,0.0010824,0.0010824
15,156.587,1.27746,1.93099,2.39557,0.39217,0.4718,0.35271,0.23795,1.25341,1.87279,2.68853,0.0010802,0.0010802,0.0010802
16,166.099,1.32215,1.94157,2.42974,0.40121,0.48929,0.3445,0.23324,1.22772,1.92285,2.68646,0.001078,0.001078,0.001078
17,174.07,1.29874,1.90803,2.41768,0.38675,0.50062,0.36141,0.2428,1.23209,1.8207,2.67377,0.0010758,0.0010758,0.0010758
18,182.379,1.32182,1.91301,2.43346,0.39752,0.52313,0.37563,0.25578,1.21529,1.84241,2.66336,0.0010736,0.0010736,0.0010736
19,191.76,1.28099,1.87135,2.42698,0.38383,0.50768,0.37388,0.24925,1.24471,1.8493,2.6685,0.0010714,0.0010714,0.0010714
20,200.853,1.24653,1.85165,2.38929,0.41672,0.49405,0.38227,0.26576,1.18502,1.86806,2.66217,0.0010692,0.0010692,0.0010692
21,209.263,1.24284,1.83547,2.33981,0.37852,0.47123,0.37562,0.25803,1.19592,1.81212,2.6569,0.001067,0.001067,0.001067
22,218.375,1.23373,1.81479,2.42413,0.38672,0.49119,0.3751,0.25491,1.22145,1.877,2.62871,0.0010648,0.0010648,0.0010648
23,226.649,1.23051,1.83523,2.33473,0.42021,0.51639,0.40001,0.2782,1.16329,1.79563,2.64778,0.0010626,0.0010626,0.0010626
