epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5883,4.1335,4.61002,4.12319,0,0,0,0,4.77577,5.16197,4.26266,0.000364161,0.000364161,0.000364161
2,30.5783,2.59071,3.15745,2.98671,0.03648,0.16555,0.02529,0.01442,3.28638,4.532,3.592,0.00073304,0.00073304,0.00073304
3,45.9943,1.96245,2.45512,2.62814,0.25269,0.43668,0.19964,0.11519,1.8755,2.46061,2.77119,0.00110045,0.00110045,0.00110045
4,62.0873,1.68876,2.24625,2.4224,0.32787,0.43516,0.29132,0.1918,1.4285,2.03967,2.45204,0.0011044,0.0011044,0.0011044
5,76.9332,1.54887,2.13713,2.28762,0.36951,0.44401,0.32941,0.21637,1.3697,1.97127,2.3827,0.0011022,0.0011022,0.0011022
6,90.2673,1.42432,2.06331,2.21028,0.37478,0.41426,0.35217,0.24331,1.29483,1.94273,2.30522,0.0011,0.0011,0.0011
7,103.334,1.38992,1.99781,2.16348,0.39717,0.47065,0.39325,0.27772,1.23105,1.9607,2.29496,0.0010978,0.0010978,0.0010978
8,115.805,1.33469,1.94418,2.13496,0.4623,0.4894,0.42962,0.30439,1.25777,1.75457,2.27115,0.0010956,0.0010956,0.0010956
9,128.532,1.30805,1.89776,2.11827,0.47603,0.48069,0.4527,0.32622,1.20286,1.7164,2.27113,0.0010934,0.0010934,0.0010934
10,140.819,1.28007,1.83634,2.08581,0.53168,0.48336,0.46214,0.3329,1.18314,1.67934,2.26612,0.0010912,0.0010912,0.0010912
11,153.27,1.25835,1.83351,2.06993,0.48983,0.50966,0.4983,0.36011,1.14847,1.64074,2.23835,0.001089,0.001089,0.001089
12,165.665,1.21665,1.78535,2.03043,0.51668,0.54153,0.50586,0.37365,1.10555,1.59827,2.22458,0.0010868,0.0010868,0.0010868
13,177.721,1.21153,1.70877,2.0677,0.56491,0.52469,0.53035,0.38672,1.16002,1.55147,2.22665,0.0010846,0.0010846,0.0010846
14,189.94,1.19572,1.67935,2.06301,0.55674,0.53915,0.53294,0.39254,1.10526,1.52845,2.21534,0.0010824,0.0010824,0.0010824
15,203.108,1.14363,1.62111,2.01203,0.594,0.5181,0.5539,0.41936,1.0546,1.5861,2.2172,0.0010802,0.0010802,0.0010802
16,215.573,1.16515,1.60157,2.03505,0.55619,0.53732,0.57455,0.43533,1.03123,1.46076,2.17315,0.001078,0.001078,0.001078
17,227.491,1.14005,1.56832,2.01437,0.58345,0.56559,0.6061,0.46058,1.03609,1.37911,2.15542,0.0010758,0.0010758,0.0010758
18,239.555,1.13858,1.55229,2.0163,0.59197,0.55062,0.58658,0.43361,1.03381,1.44069,2.15279,0.0010736,0.0010736,0.0010736
