epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.219,5.25333,4.58446,3.94802,0,0,0,0,5.96899,4.61115,4.34347,0.000364161,0.000364161,0.000364161
2,17.3387,2.92319,2.93724,2.71429,0.04257,0.28123,0.05891,0.02664,3.75053,3.70422,3.21615,0.00073304,0.00073304,0.00073304
3,24.6648,2.13828,2.3017,2.30143,0.21857,0.31267,0.16819,0.0925,2.15148,2.24727,2.40153,0.00110045,0.00110045,0.00110045
4,32.4293,1.83193,2.1233,2.10494,0.31362,0.461,0.28314,0.17447,1.67008,1.93433,2.17078,0.0011044,0.0011044,0.0011044
5,39.7732,1.677,2.01556,2.00109,0.33815,0.48309,0.33481,0.21784,1.5068,1.86519,2.04976,0.0011022,0.0011022,0.0011022
6,46.7085,1.5601,1.93003,1.93706,0.36439,0.44528,0.3474,0.22219,1.53089,1.85409,1.9903,0.0011,0.0011,0.0011
7,53.8898,1.5067,1.85432,1.85636,0.4185,0.50463,0.42183,0.28616,1.39993,1.70464,1.92901,0.0010978,0.0010978,0.0010978
8,60.8217,1.43438,1.78002,1.81612,0.50818,0.48594,0.48199,0.34213,1.29808,1.57306,1.90196,0.0010956,0.0010956,0.0010956
9,68.3687,1.37429,1.71112,1.76489,0.54354,0.51281,0.51674,0.36055,1.26268,1.53092,1.85757,0.0010934,0.0010934,0.0010934
10,75.0016,1.34869,1.63868,1.7327,0.57505,0.49762,0.52397,0.36442,1.32113,1.48962,1.86299,0.0010912,0.0010912,0.0010912
11,82.2939,1.32009,1.63461,1.69531,0.54943,0.51218,0.5201,0.37435,1.23548,1.49631,1.82511,0.001089,0.001089,0.001089
12,89.9537,1.26459,1.5874,1.65531,0.53262,0.54391,0.54694,0.37485,1.25161,1.4644,1.8267,0.0010868,0.0010868,0.0010868
13,97.0795,1.26196,1.50567,1.6913,0.54188,0.56813,0.55349,0.39368,1.16463,1.45518,1.82768,0.0010846,0.0010846,0.0010846
14,104.339,1.22661,1.48559,1.67271,0.58477,0.51488,0.54117,0.38904,1.16466,1.46899,1.80311,0.0010824,0.0010824,0.0010824
15,111.227,1.16805,1.4217,1.62832,0.60805,0.53699,0.59283,0.43932,1.0875,1.35398,1.75645,0.0010802,0.0010802,0.0010802
16,118.43,1.18331,1.42906,1.64451,0.62624,0.56915,0.62582,0.46307,1.05853,1.26459,1.7558,0.001078,0.001078,0.001078
17,125.577,1.16022,1.39112,1.62812,0.57232,0.58036,0.60811,0.44944,1.08064,1.32024,1.7704,0.0010758,0.0010758,0.0010758
18,132.964,1.18037,1.39136,1.62522,0.58675,0.60342,0.63402,0.47479,1.04159,1.28609,1.76316,0.0010736,0.0010736,0.0010736
19,139.917,1.14364,1.36964,1.64117,0.5717,0.60323,0.60051,0.44973,1.06155,1.31175,1.75778,0.0010714,0.0010714,0.0010714
20,147.136,1.10478,1.32349,1.61377,0.62492,0.55586,0.61551,0.45621,1.06468,1.34385,1.74055,0.0010692,0.0010692,0.0010692
21,154.339,1.10639,1.31218,1.59413,0.66775,0.58128,0.64844,0.48723,1.07075,1.21841,1.73967,0.001067,0.001067,0.001067
22,161.17,1.0822,1.24397,1.63831,0.70783,0.55675,0.6582,0.4982,1.01714,1.20134,1.7343,0.0010648,0.0010648,0.0010648
23,168.797,1.09972,1.28817,1.58087,0.65159,0.604,0.66474,0.50177,1.0067,1.23154,1.71942,0.0010626,0.0010626,0.0010626
24,175.829,1.08159,1.25277,1.59398,0.72041,0.57502,0.67239,0.51349,1.00939,1.16733,1.7346,0.00106041,0.00106041,0.00106041
25,183.033,1.07543,1.22964,1.60828,0.59737,0.58484,0.6026,0.43349,1.06521,1.40051,1.72852,0.00105821,0.00105821,0.00105821
26,190.489,1.07529,1.23135,1.57486,0.70798,0.59232,0.69041,0.54328,0.94401,1.13067,1.68413,0.00105601,0.00105601,0.00105601
27,197.427,1.0549,1.22071,1.56199,0.68527,0.62993,0.70301,0.5381,0.96654,1.09319,1.69524,0.00105381,0.00105381,0.00105381
