epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4123,5.11257,4.19502,3.68433,0,0,0,0,5.9728,4.60424,4.3574,0.000364161,0.000364161,0.000364161
2,18.1747,3.03751,2.83176,2.40735,0.06006,0.37056,0.06975,0.02821,3.45248,3.17608,3.01315,0.00073304,0.00073304,0.00073304
3,27.3792,2.08446,2.30231,2.12419,0.18979,0.40612,0.15228,0.08035,2.07295,2.34451,2.22519,0.00110045,0.00110045,0.00110045
4,34.8768,1.79774,2.11214,1.95359,0.38816,0.42801,0.3333,0.22027,1.59049,1.91427,2.01441,0.0011044,0.0011044,0.0011044
5,41.4774,1.65673,1.98096,1.85334,0.40867,0.42019,0.36262,0.24869,1.46604,1.7801,1.85128,0.0011022,0.0011022,0.0011022
6,48.3909,1.5373,1.90144,1.78255,0.48611,0.42866,0.41609,0.28714,1.40049,1.68151,1.83332,0.0011,0.0011,0.0011
7,55.8784,1.49749,1.8205,1.74819,0.48503,0.44887,0.45094,0.30901,1.40152,1.6404,1.8231,0.0010978,0.0010978,0.0010978
8,62.6058,1.43249,1.74245,1.7195,0.55174,0.48139,0.48853,0.3375,1.38904,1.56923,1.85897,0.0010956,0.0010956,0.0010956
9,69.9629,1.35661,1.66902,1.68841,0.51721,0.48436,0.49419,0.34184,1.32075,1.56908,1.81657,0.0010934,0.0010934,0.0010934
10,76.5785,1.32181,1.58982,1.6651,0.58354,0.5135,0.53907,0.3823,1.2141,1.45637,1.76863,0.0010912,0.0010912,0.0010912
11,83.7379,1.28943,1.5893,1.63437,0.61409,0.48928,0.53761,0.39093,1.19836,1.42483,1.77281,0.001089,0.001089,0.001089
12,90.5314,1.25211,1.54824,1.60702,0.56236,0.54823,0.57527,0.41693,1.17637,1.42731,1.78549,0.0010868,0.0010868,0.0010868
13,97.4087,1.24179,1.45541,1.63328,0.60117,0.50707,0.56104,0.40327,1.18003,1.49824,1.81246,0.0010846,0.0010846,0.0010846
14,104.232,1.20186,1.42351,1.62652,0.64331,0.54817,0.61206,0.45688,1.09262,1.31112,1.75157,0.0010824,0.0010824,0.0010824
15,111.175,1.161,1.36758,1.5868,0.6616,0.50099,0.57899,0.42384,1.1256,1.44253,1.72879,0.0010802,0.0010802,0.0010802
