epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.1399,3.11694,3.522,3.51686,0.03769,0.38373,0.04683,0.01955,3.46479,3.62717,3.57944,0.000367247,0.000367247,0.000367247
2,92.5179,1.84867,2.24508,2.58494,0.32821,0.50641,0.35433,0.2293,1.64971,1.95812,2.70502,0.00073612,0.00073612,0.00073612
3,137.286,1.54312,2.01038,2.38531,0.35551,0.50802,0.42715,0.27939,1.43956,1.82834,2.5892,0.00110353,0.00110353,0.00110353
4,181.663,1.44387,1.93796,2.31929,0.49178,0.51093,0.45649,0.3032,1.32315,1.72145,2.56234,0.0011044,0.0011044,0.0011044
5,227.272,1.35111,1.79835,2.22445,0.53719,0.51459,0.51286,0.35356,1.22893,1.60163,2.45726,0.0011022,0.0011022,0.0011022
6,272.448,1.27221,1.65691,2.21622,0.49219,0.53851,0.51795,0.37559,1.14789,1.51251,2.3979,0.0011,0.0011,0.0011
7,316.985,1.19226,1.59593,2.13072,0.55903,0.5341,0.55846,0.40877,1.14814,1.46578,2.37914,0.0010978,0.0010978,0.0010978
8,363.265,1.17805,1.57962,2.10978,0.59873,0.52746,0.55644,0.40746,1.11301,1.54786,2.38071,0.0010956,0.0010956,0.0010956
9,407.278,1.11397,1.49192,2.09588,0.55011,0.59284,0.57697,0.42373,1.04358,1.44139,2.35789,0.0010934,0.0010934,0.0010934
10,451.549,1.05743,1.40202,2.04894,0.54733,0.59221,0.62088,0.45763,1.04315,1.34849,2.30441,0.0010912,0.0010912,0.0010912
11,496.22,1.04227,1.3825,2.0357,0.60307,0.5885,0.64045,0.49971,0.92058,1.29382,2.27951,0.001089,0.001089,0.001089
12,540.623,1.00628,1.35838,2.00973,0.66486,0.56566,0.65521,0.49799,0.96737,1.28588,2.30853,0.0010868,0.0010868,0.0010868
13,586.771,1.00552,1.29228,2.0054,0.60255,0.55876,0.62343,0.48053,0.9661,1.37382,2.27612,0.0010846,0.0010846,0.0010846
14,630.844,0.99951,1.28187,2.01078,0.61195,0.5745,0.65038,0.5086,0.90782,1.269,2.23168,0.0010824,0.0010824,0.0010824
15,675.094,0.987,1.24804,2.02032,0.66753,0.59438,0.69088,0.53227,0.96296,1.19317,2.19775,0.0010802,0.0010802,0.0010802
16,719.45,0.93589,1.20071,1.94899,0.62603,0.62485,0.69185,0.54084,0.91025,1.16318,2.15947,0.001078,0.001078,0.001078
17,763.71,0.95266,1.20066,1.98928,0.65024,0.61861,0.69526,0.55098,0.89549,1.15034,2.16664,0.0010758,0.0010758,0.0010758
18,808.032,0.93686,1.14701,1.96454,0.70449,0.6153,0.72995,0.57693,0.89841,1.09854,2.14255,0.0010736,0.0010736,0.0010736
19,852.315,0.90747,1.12716,1.95324,0.66075,0.63122,0.708,0.55787,0.89051,1.15421,2.19234,0.0010714,0.0010714,0.0010714
20,896.058,0.8867,1.11076,1.91653,0.68677,0.60607,0.70949,0.56704,0.85432,1.15695,2.16863,0.0010692,0.0010692,0.0010692
21,940.235,0.89378,1.09463,1.93187,0.72418,0.63599,0.74418,0.58966,0.87508,1.06391,2.13213,0.001067,0.001067,0.001067
22,984.317,0.87613,1.10661,1.91038,0.68623,0.66142,0.75112,0.60609,0.81829,1.05109,2.1234,0.0010648,0.0010648,0.0010648
23,1029.04,0.84637,1.05983,1.86872,0.59129,0.62489,0.67808,0.54017,0.84303,1.19844,2.14467,0.0010626,0.0010626,0.0010626
24,1072.71,0.84966,1.07231,1.89775,0.6361,0.64326,0.70252,0.55441,0.86247,1.14971,2.15528,0.00106041,0.00106041,0.00106041
25,1116.59,0.8382,1.03045,1.8512,0.73881,0.64449,0.76307,0.60991,0.84553,1.01394,2.08127,0.00105821,0.00105821,0.00105821
26,1160.75,0.82866,1.01101,1.86487,0.63288,0.6705,0.73316,0.58805,0.81243,1.07747,2.10322,0.00105601,0.00105601,0.00105601
27,1204.39,0.81838,1.00284,1.85065,0.64444,0.69116,0.74989,0.60202,0.81453,1.03777,2.11585,0.00105381,0.00105381,0.00105381
28,1248.33,0.8197,1.00408,1.85838,0.77567,0.66661,0.7897,0.63401,0.82023,0.97384,2.0751,0.00105161,0.00105161,0.00105161
29,1292.52,0.81553,0.97619,1.83923,0.67516,0.67964,0.75904,0.60903,0.81181,1.00148,2.09308,0.00104941,0.00104941,0.00104941
30,1336.36,0.80887,0.96931,1.86278,0.76099,0.65412,0.77747,0.62897,0.81241,0.97162,2.06461,0.00104721,0.00104721,0.00104721
31,1380.12,0.81652,0.97427,1.87275,0.73707,0.64925,0.76186,0.61191,0.79509,0.99915,2.06928,0.00104501,0.00104501,0.00104501
32,1423.82,0.80719,0.96806,1.85762,0.7369,0.66992,0.77651,0.63677,0.76367,0.95058,2.06595,0.00104281,0.00104281,0.00104281
33,1467.87,0.81433,0.97112,1.87941,0.75178,0.69656,0.79282,0.64501,0.78922,0.92287,2.05618,0.00104061,0.00104061,0.00104061
34,1511.94,0.76801,0.93579,1.80277,0.72009,0.69172,0.77794,0.63,0.78811,0.96325,2.05345,0.00103841,0.00103841,0.00103841
35,1555.88,0.75898,0.89954,1.81748,0.6885,0.68848,0.76633,0.62013,0.76909,0.99448,2.06424,0.00103621,0.00103621,0.00103621
36,1599.63,0.79395,0.92585,1.83316,0.7775,0.66857,0.7955,0.64772,0.77228,0.90804,2.05521,0.00103401,0.00103401,0.00103401
