epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1737,3.62166,3.14584,2.92809,0,0,0,0,5.75478,4.425,3.99846,0.000364161,0.000364161,0.000364161
2,26.3588,1.97769,2.15613,2.15982,0.07131,0.30516,0.06614,0.02945,3.87657,3.61607,2.95546,0.00073304,0.00073304,0.00073304
3,38.3897,1.78447,1.92356,2.00404,0.37707,0.4083,0.3089,0.18276,2.03903,1.92766,2.27888,0.00110045,0.00110045,0.00110045
4,50.3889,1.57426,1.82708,1.88164,0.46175,0.47146,0.41639,0.28007,1.401,1.61351,1.97868,0.0011044,0.0011044,0.0011044
5,62.3876,1.44876,1.66776,1.78888,0.54579,0.4978,0.495,0.35264,1.27408,1.59118,1.92511,0.0011022,0.0011022,0.0011022
6,74.3828,1.35906,1.61923,1.74451,0.48694,0.51611,0.50411,0.3659,1.22853,1.48626,1.84519,0.0011,0.0011,0.0011
7,86.3911,1.32034,1.53143,1.70093,0.49201,0.52641,0.53744,0.38864,1.1405,1.44926,1.88235,0.0010978,0.0010978,0.0010978
8,98.3618,1.25082,1.46654,1.68819,0.56303,0.58726,0.59505,0.44595,1.16032,1.31274,1.81369,0.0010956,0.0010956,0.0010956
9,110.326,1.18659,1.4189,1.65926,0.59458,0.55407,0.59716,0.43967,1.1257,1.32805,1.80129,0.0010934,0.0010934,0.0010934
10,122.038,1.15863,1.36195,1.63491,0.61365,0.57511,0.61487,0.45313,1.08256,1.37263,1.79752,0.0010912,0.0010912,0.0010912
11,134.022,1.12304,1.35738,1.60148,0.60873,0.59106,0.63469,0.46612,1.10001,1.25256,1.75932,0.001089,0.001089,0.001089
12,146.179,1.07637,1.32093,1.56482,0.56447,0.54132,0.56246,0.41676,1.13427,1.43849,1.78546,0.0010868,0.0010868,0.0010868
13,157.797,1.09135,1.24528,1.61066,0.56816,0.58818,0.60357,0.44401,1.17901,1.38059,1.74215,0.0010846,0.0010846,0.0010846
14,169.486,1.02686,1.21328,1.60016,0.65241,0.59205,0.66974,0.51141,0.99164,1.18016,1.74567,0.0010824,0.0010824,0.0010824
15,181.454,1.00332,1.16451,1.56457,0.71853,0.57264,0.69698,0.51971,1.06474,1.15331,1.69862,0.0010802,0.0010802,0.0010802
16,193.389,0.99041,1.14198,1.56456,0.69623,0.61337,0.70907,0.54872,0.94132,1.09478,1.669,0.001078,0.001078,0.001078
17,205.413,0.98029,1.11602,1.56086,0.64984,0.59683,0.66795,0.51702,0.97262,1.21336,1.74306,0.0010758,0.0010758,0.0010758
